10501|娜迦公主
10502|冰雪女王
10503|冰霜巨龙
10504|泰坦
10505|波塞冬
10507|少年梅林
10510|耶梦加得
10511|酒神
10512|利维坦
10513|伊米尔
20305|奥杜尔·铜须
20401|火枪艾克
20502|炎魔之王
20504|菲尼克斯
20505|阿波罗
20507|普罗米修斯
20508|瓦尔基里
20509|洛基
20510|哪吒
20511|海姆达尔
20512|阿奇丽
20513|萨麦尔
30501|奥丁
30503|凯兰崔尔
30504|魅魔女王
30506|雅典娜
30507|潘
30508|斯芬克斯
30509|芬尼尔
30510|拉塔托斯克
30511|辛西娅
30512|塞莎特
40502|宙斯
40503|赫拉
40504|雷神
40506|艾蕾莉亚
40507|神灵大祭司
40508|拉斐尔
40509|维纳斯
40510|加百列
40511|人马喀戎
50502|哈迪斯
50503|亚巴顿
50504|黑暗之主
50505|阿努比斯
50507|潘多拉
50508|海拉
50509|尼德霍格
50510|阿蒙
50511|乌列
50512|伊邪那美
60501|曹焱兵
60502|孙悟空
30513|白虎
40511|人马
40512|特弥斯
50513|月读命
30502|Gaara
